Date,Adj_Close_SPY,Adj_Close_JP,Adj_Close_UK,
03-01-2012,104.950829,568.700012,1187.660034,
04-01-2012,105.115448,565.799988,1189.02002,
05-01-2012,105.395309,561.299988,1186.829956,
06-01-2012,105.123665,563.400024,1187.930054,
09-01-2012,105.37886,560,1187.130005,
10-01-2012,106.292557,568.5,1185.439941,
11-01-2012,106.350166,565.599976,1188.5,
12-01-2012,106.605347,564.900024,1187.849976,
13-01-2012,106.053818,561.900024,1187.209961,
17-01-2012,106.465393,563.5,1188.869995,
18-01-2012,107.642509,567.900024,1191.069946,
19-01-2012,108.21048,568.799988,1196.48999,
20-01-2012,108.613792,572.799988,1202.869995,
23-01-2012,108.333977,571.299988,1207.400024,
24-01-2012,108.21048,576.099976,1214.910034,
25-01-2012,109.115913,573.299988,1217.949951,
26-01-2012,108.556183,570.299988,1221.140015,
27-01-2012,108.50679,577.700012,1225.579956,
30-01-2012,108.136383,571.299988,1228.439941,
31-01-2012,108.095261,565.200012,1231.76001,
01-02-2012,109.041847,566.200012,1238.180054,
02-02-2012,109.214684,577.099976,1241.73999,
03-02-2012,110.74572,577.5,1250.900024,
06-02-2012,110.671669,588.099976,1245.069946,
07-02-2012,110.95153,587.299988,1247.290039,
08-02-2012,111.280777,586.900024,1250.969971,
09-02-2012,111.420731,585.900024,1254.430054,
10-02-2012,110.597588,588,1260.52002,
13-02-2012,111.420731,583.599976,1260.699951,
14-02-2012,111.280777,588.200012,1265.02002,
15-02-2012,110.762192,588.299988,1264.069946,
16-02-2012,111.988708,589.400024,1270.98999,
17-02-2012,112.285034,588.5,0,
21-02-2012,112.334412,590.599976,1279.22998,
22-02-2012,111.972214,593.700012,1286.130005,
23-02-2012,112.466156,592.799988,1294.449951,
24-02-2012,112.713043,589.5,1303.699951,
27-02-2012,112.902382,591.400024,1311.47998,
28-02-2012,113.231651,591,1313.579956,
29-02-2012,112.78714,588.799988,1313.449951,
01-03-2012,113.371567,590.099976,1308.589966,
02-03-2012,113.025856,585,1312.310059,
05-03-2012,112.56488,591.099976,1315.949951,
06-03-2012,110.91864,589.599976,1313.949951,
07-03-2012,111.692413,585.900024,1313.790039,
08-03-2012,112.803581,576,1324.01001,
09-03-2012,113.239883,579.299988,1330.530029,
12-03-2012,113.248108,585.900024,1341.709961,
13-03-2012,115.289528,588.900024,1347.380005,
14-03-2012,115.166039,589.099976,1366.939941,
15-03-2012,115.832756,595.099976,1376.569946,
16-03-2012,115.993172,595.5,1366.709961,
19-03-2012,116.447891,594.599976,1386.280029,
20-03-2012,116.10894,597.5,1391.650024,
21-03-2012,115.918777,596.5,1389.540039,
22-03-2012,115.083725,589.099976,1378.27002,
23-03-2012,115.455818,589.900024,1372.140015,
26-03-2012,117.076248,585.200012,1377.150024,
27-03-2012,116.71244,586.5,1366.859985,
28-03-2012,116.133759,590.900024,1369.410034,
29-03-2012,115.93528,587.5,1370.660034,
30-03-2012,116.414841,581.400024,1377,
02-04-2012,117.26638,575,1370.859985,
03-04-2012,116.786865,577.400024,1365.030029,
